Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,xAG,xG+xAG,npxG,npxG+xAG
141,Lautaro Di Lollo,ar ARG,DF,ar Boca Juniors,21-104,2004,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
142,Ángel Di María,ar ARG,"MF,FW",pt Benfica,37-128,1988,2,2,166,1.8,3,0,3,0,3,3,0,0,1.63,0,1.63,0,0,Matches,,,,
143,Soumaïla Diabaté,ml MLI,MF,at RB Salzburg,20-212,2004,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
144,Brahim Díaz,ma MAR,"FW,MF",es Real Madrid,25-323,1999,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
145,Javairô Dilrosun,nl NED,"FW,MF",us LAFC,27-000,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
146,Federico Dimarco,it ITA,"DF,MF",it Inter,27-224,1997,1,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
147,Jeremy Doku,be BEL,FW,eng Manchester City,23-026,2002,1,1,59,0.7,1,0,1,1,0,0,0,0,1.53,0,1.53,1.53,1.53,Matches,,,,
148,Alexei Dominguez,mx MEX,MF,mx Pachuca,20-170,2005,1,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
149,Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,26-117,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
150,Nene Dorgeles,ml MLI,MF,at RB Salzburg,22-181,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,,,
151,Désiré Doué,fr FRA,FW,fr Paris S-G,20-019,2005,2,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
152,Sebastián Driussi,ar ARG,FW,ar River Plate,29-133,1996,1,1,50,0.6,1,0,1,1,0,0,0,0,1.8,0,1.8,1.8,1.8,Matches,,,,
153,Jeremy Ebobisse,us USA,FW,us LAFC,28-128,1997,2,1,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
154,Ederson,br BRA,GK,eng Manchester City,31-309,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
155,Matt Ellis,nz NZL,MF,nz Auckland City,24-115,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
156,Erick,br BRA,FW,kr Ulsan HD,28-170,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
157,Sebastiano Esposito,it ITA,FW,it Inter,22-355,2002,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
158,Dario Essugo,pt POR,MF,eng Chelsea,20-100,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
159,Stephen Eustáquio,ca CAN,MF,pt Porto,28-183,1996,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
160,Lucas Evangelista,br BRA,MF,br Palmeiras,30-047,1995,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
161,Fábio,br BRA,GK,br Fluminense,44-265,1980,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
162,Maximiliano Falcón,uy URU,DF,us Inter Miami,28-052,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
163,Hamdy Fathy,eg EGY,MF,eg Al Ahly,30-266,1994,2,2,151,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
